tier,category,publication,domain,route,claimed_da_dr_unverified,notes
3,Property investment/landlord,Property Wire,propertywire.com,Editorial pitch (already in our target list),48 (self-reported - unverified),International property news, UK bridging content well received per our own notes.
3,Property investment/landlord,Property Industry Eye,propertyindustryeye.com,Editorial pitch (already in our target list),Not found - check yourself,Agent/industry-facing.
3,Property investment/landlord,Landlord Today,landlordtoday.co.uk,Editorial pitch,Not found - check yourself,Daily landlord news.
3,Property investment/landlord,Your Property Network (YPN),yourpropertynetwork.co.uk,Editorial pitch / possible sponsored content,Not found - check yourself,18+ years running, respected in the investor community.
3,Property investment/landlord,Property Investor News,property-investor-news.com,Editorial pitch,Not found - check yourself,Monthly magazine for private investors/landlords.
3,Property investment/landlord,Residential Landlord,residentiallandlord.co.uk,Editorial pitch,Not found - check yourself,Daily landlord news aggregator.
3,Property investment/landlord,Landlord Investor Magazine,landlordinvestmentshow.co.uk,Editorial pitch / event sponsorship route,Not found - check yourself,Tied to the Landlord Investment Show events - sponsorship could be a paid route in.
3,Property investment/landlord,NRLA Property Magazine,nrla.org.uk,Membership/PR pitch via NRLA,Not found - check yourself,National Residential Landlords Association's own magazine.
3,Property investment/landlord,Property Reporter,propertyreporter.co.uk,Editorial pitch,Not found - check yourself,General property news, regularly runs finance commentary.
4,Commercial property,Estates Gazette (EG),estatesgazette.co.uk,Editorial pitch,Not found - assume high (major trade title),Original UK commercial property trade press - high prestige, hard to secure.
4,Commercial property,Property Week,propertyweek.com,Editorial pitch,Not found - assume high,Major commercial property trade title.
4,Commercial property,CoStar UK,costar.com,Editorial pitch,Not found - assume high,Commercial real estate data/news - US-owned, UK desk.
4,Commercial property,Green Street News (formerly React News),reactnews.com,Editorial pitch,Not found - check yourself,Commercial real estate news, founded by ex-EG editor.
4,Commercial property,Bisnow London,bisnow.com,Editorial pitch,Not found - check yourself,Commercial real estate, US-owned with a London desk.
5,SME/business advice,Small Business UK,smallbusiness.co.uk,Editorial pitch / guest contribution,Not found - check yourself,General SME advice site, finance section exists.
5,SME/business advice,Startups.co.uk,startups.co.uk,Editorial pitch / guest contribution,Not found - assume high (4.8m readers per Wikipedia),Well-established, large audience.
5,SME/business advice,GrowthBusiness,growthbusiness.co.uk,Editorial pitch / guest contribution,Not found - check yourself,Fast-growth business audience - good fit for funding content.
5,SME/business advice,Real Business,realbusiness.co.uk,Editorial pitch / guest contribution,Not found - check yourself,Running since 1997, entrepreneurship focus.
5,SME/business advice,Business Leader,businessleader.co.uk,Editorial pitch,Not found - check yourself,Regional + national SME business news.
5,SME/business advice,The Business Desk,thebusinessdesk.com,Editorial pitch,Not found - check yourself,Regional business news network (Yorkshire/NW/Midlands/etc).
5,SME/business advice,BusinessCloud,businesscloud.co.uk,Editorial pitch,57/73 (self-reported listicle - unverified),Tech/finance crossover business news.
5,SME/business advice,Entrepreneur Handbook,entrepreneurhandbook.co.uk,Editorial pitch / guest contribution,Not found - check yourself,SME advice site, accepts contributor content.
5,SME/business advice,SME Web,smeweb.com,Editorial pitch,Not found - check yourself,SME news aggregator.
6,Regional business press,Insider Media,insidermedia.com,Editorial pitch,Not found - assume high (200k+ subscribers per their own site),UK's largest regional B2B media company - 6 regional titles under one group.
6,Regional business press,Insider (Scotland),insider.co.uk,Editorial pitch,Not found - check yourself,Scottish business news, part of Insider Media.
6,Regional business press,BusinessLive (Reach plc network),business-live.co.uk,Editorial pitch,Not found - check yourself,Regional business news network covering multiple UK cities.
7,Fintech/alt finance,The Fintech Times,thefintechtimes.com,Editorial pitch,Not found - check yourself,Leading UK fintech trade title.
7,Fintech/alt finance,Finextra,finextra.com,Editorial pitch / press release route,Not found - assume high (~300k monthly visits per their own claims),Global fintech news, strong UK presence, accepts press releases.
7,Fintech/alt finance,FinTech Alliance,fintech-alliance.com,Editorial pitch / community platform,Not found - check yourself,UK-government-linked fintech community platform.
7,Fintech/alt finance,P2P Finance News,p2pfinancenews.co.uk,Editorial pitch,Not found - check yourself,Peer-to-peer/alternative finance specialist.
7,Fintech/alt finance,Alternative Credit Investor,alternativecreditinvestor.com,Editorial pitch,Not found - check yourself,Alt-lending/credit specialist trade press.
8,Personal finance (major - unlikely to sell links but high value if secured),MoneySavingExpert,moneysavingexpert.com,Editorial/PR only - will not sell links,Not found - assume very high,Consumer champion brand, extremely hard to secure, do not pursue paid routes here.
8,Personal finance (major - unlikely to sell links but high value if secured),MoneySuperMarket,moneysupermarket.com,Editorial/PR only,Not found - assume very high,Comparison site, unlikely to link out editorially.
8,Personal finance (major - unlikely to sell links but high value if secured),Moneyfacts Compare,moneyfactscompare.co.uk,Editorial pitch,Not found - assume high,Savings/mortgage comparison and data site.
8,Personal finance (major - unlikely to sell links but high value if secured),MoneyHelper (government-backed),moneyhelper.org.uk,PR pitch only - government service,Not found - N/A,Won't do paid links, included for awareness only.
9,Personal finance blogs (real audiences - some accept guest/sponsored content),Monevator,monevator.com,Guest content pitch,Not found - check yourself,Well-regarded UK investing blog.
9,Personal finance blogs (real audiences - some accept guest/sponsored content),Be Clever With Your Cash,becleverwithyourcash.com,Guest content / sponsored post pitch,Not found - check yourself,Popular UK money-saving blog.
9,Personal finance blogs (real audiences - some accept guest/sponsored content),Mouthy Money,mouthymoney.co.uk,Guest content pitch (explicit contributor platform),Not found - check yourself,Community-contributor personal finance site.
9,Personal finance blogs (real audiences - some accept guest/sponsored content),Money Bulldog,moneybulldog.co.uk,Guest content / sponsored post pitch,Not found - check yourself,UK personal finance blog.
9,Personal finance blogs (real audiences - some accept guest/sponsored content),The Money Shed,themoneyshed.co.uk,Guest content pitch (has a blog section),Not found - check yourself,Money-making/saving tips site.
9,Personal finance blogs (real audiences - some accept guest/sponsored content),The Humble Penny,thehumblepenny.com,Guest content / sponsored post pitch,Not found - check yourself,Popular FIRE/personal finance blog.
9,Personal finance blogs (real audiences - some accept guest/sponsored content),Skint Dad,skintdad.co.uk,Guest content pitch,Not found - check yourself,Popular UK money blog.
9,Personal finance blogs (real audiences - some accept guest/sponsored content),Boost My Budget,boostmybudget.com,Guest content pitch,Not found - check yourself,UK personal finance blog.
9,Personal finance blogs (real audiences - some accept guest/sponsored content),The Money Pages,themoneypages.com,Guest content pitch,Not found - check yourself,UK personal finance content site.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),London Insider,londoninsider.co.uk,Has a dedicated "Write For Us - Finance" page,58/74 (self-reported listicle - unverified),Explicitly solicits finance guest posts.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),ABC Money,abcmoney.co.uk,Has a "Write For Us" page,66/63 (self-reported listicle - unverified),Accepts guest posts + social promotion.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),My Finances,myfinances.co.uk,Has a "Write For Us" page for finance experts,Not found - check yourself,Explicitly wants people with financial expertise as guest writers.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),UK Money Talks,ukmoneytalks.co.uk,Has a "Write For Us" page,Not found - check yourself,Covers all finance/business niches.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),My Side Gig,mysidegig.co.uk,Explicit PAID guest post / link insertion - contact info@mysidegig.co.uk,Not found - check yourself,They openly charge a fee - clearest "pay for it" route found, but lower prestige.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),Financial News (not the FT title - separate site),financial-news.co.uk,Editorial/guest pitch,55/57 (self-reported listicle - unverified),Do not confuse with fnlondon.com above - different, smaller site.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),Business Matters Magazine,bmmagazine.co.uk,Editorial/guest pitch,61/77 (self-reported listicle - unverified),Established UK SME magazine, decent claimed authority.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),London Loves Business,londonlovesbusiness.com,Editorial/guest pitch,Not found - check yourself,London-focused business news site.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),Finance Monthly,finance-monthly.com,Editorial/guest pitch,Not found - check yourself,Genuine finance trade magazine with awards programme.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),Business In The News,businessinthenews.co.uk,Editorial/guest pitch,56/60 (self-reported listicle - unverified),General UK business news site.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),Daily Business Group,dailybusinessgroup.co.uk,Editorial/guest pitch,48/61 (self-reported listicle - unverified),Scottish-focused business news.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),I Do Business,idobusiness.co.uk,Editorial/guest pitch,43/61 (self-reported listicle - unverified),Startup/business focus.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),Western Business,westernbusiness.co.uk,Editorial/guest pitch,42/53 (self-reported listicle - unverified),Regional (West of England) business news.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),UK Loan Advisors,ukloanadvisors.co.uk,Has a "Write For Us" page,Not found - check yourself,Directly finance-relevant niche - loans/credit.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),Small Business Trends UK,smallbusinesstrends.co.uk,Has a "Write For Us" page,Not found - check yourself,Wants financial experts as contributors.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),Fleximize,fleximize.com,Has a "Write For Us" business blog page,Not found - check yourself,UK alternative business lender with an active contributor blog - genuinely relevant niche.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),ClickDo Business Blog,business.clickdo.co.uk,Has a "Write For Us" page,Not found - check yourself,SEO agency's business blog, wants finance/budget content.
10,Guest-post-friendly finance/business sites (real sites, explicit contributor or paid-placement routes - lowest effort but lowest prestige tier),The Business Time,thebusinesstime.co.uk,Has a "Write For Us" page,Not found - check yourself,Accepts finance-niche contributors.
11,Accountancy/professional services trade press,AccountingWEB,accountingweb.co.uk,Editorial pitch,Not found - assume high (major UK accountancy trade title),Well-established, widely read by UK accountants/advisers.
11,Accountancy/professional services trade press,Economia (ICAEW),economia.icaew.com,Editorial pitch,Not found - assume high,Institute of Chartered Accountants in England & Wales' own magazine.
11,Accountancy/professional services trade press,Accountancy Daily,accountancydaily.co,Editorial pitch,Not found - check yourself,Well-known UK accountancy trade press.
11,Accountancy/professional services trade press,Tax Journal,taxjournal.com,Editorial pitch,Not found - check yourself,Tax-specialist trade press - relevant for the Tax & VAT Funding content pillar.
11,Accountancy/professional services trade press,Legal Futures,legalfutures.co.uk,Editorial pitch,Not found - check yourself,Legal trade press - occasionally covers insolvency/finance crossover stories.
12,Industry bodies/associations (directory/membership routes - not articles),UK Finance,ukfinance.org.uk,Membership + resource directory,N/A - trade body not a publisher,The main UK banking/finance trade body - membership directory listing is the realistic route, not a guest article.
12,Industry bodies/associations (directory/membership routes - not articles),NACFB,nacfb.org,Membership directory (Boxx is already awaiting acceptance per earlier notes),N/A - trade body,Membership listing + directory link once accepted - already in progress per project notes.
12,Industry bodies/associations (directory/membership routes - not articles),Finance & Leasing Association,fla.org.uk,Membership directory,N/A - trade body,Relevant if Boxx pursues asset finance/leasing membership.
12,Industry bodies/associations (directory/membership routes - not articles),Building Societies Association,bsa.org.uk,Membership/resource directory,N/A - trade body,Adjacent sector - lower priority.
12,Industry bodies/associations (directory/membership routes - not articles),Propertymark,propertymark.co.uk,Membership/resource directory,N/A - trade body,Property professional body - broker directory route.
1,National finance/business news,Forbes Advisor UK,forbes.com,Data/PR pitch - they run a "Compare Bridging Loans" page already,Not found - assume very high,"Already publishes bridging content without mentioning Boxx - a genuine target for a data/expert-quote pitch, high prestige."
11,Adviser/IFA trade press,Money Marketing,moneymarketing.co.uk,Editorial pitch,Not found - assume high,Long-established UK IFA/adviser trade press.
11,Adviser/IFA trade press,Professional Adviser,professionaladviser.com,Editorial pitch,Not found - assume high,Adviser-facing trade press.
11,Adviser/IFA trade press,IFA Magazine,ifamagazine.com,Editorial pitch,Not found - check yourself,IFA-focused trade magazine.
11,Adviser/IFA trade press,Corporate Adviser,corporateadviser.com,Editorial pitch,Not found - check yourself,Workplace pensions/corporate finance focus - lower fit for bridging specifically.
7,Fintech/alt finance,Crowdfund Insider,crowdfundinsider.com,Editorial pitch / press release route,Not found - check yourself,US-based but covers UK alt-finance regularly.
5,SME/business advice,Angel News,angelnews.co.uk,Editorial pitch,Not found - check yourself,UK angel investment/startup funding news - relevant to development finance content.
5,SME/business advice,Simply Business Knowledge Hub,simplybusiness.co.uk,Editorial/guest pitch,Not found - assume high,Large SME insurance brand with a well-regarded business advice content hub.
12,Industry bodies/associations (directory/membership routes - not articles),British Business Bank,british-business-bank.co.uk,PR pitch / resource hub - government-backed,N/A - not a typical publisher,High-prestige if a genuine mention/case study is ever picked up; not a paid-link route.
12,Industry bodies/associations (directory/membership routes - not articles),UK Business Angels Association,ukbaa.org.uk,Membership/resource directory,N/A - trade body,Relevant if pursuing angel/growth-funding content angle.
